City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,ath thawrah,35.8469,38.5443,20.89,50,100,3.83,SY,1699923399
277,bardai,11.65,7.2333,21.64,23,100,3.25,NG,1699923400
278,altamont,42.2068,-121.7372,11.91,65,20,3.6,US,1699923400
279,san miguel,13.4833,-88.1833,24.82,94,96,0.55,SV,1699923400
280,thunder bay,48.4001,-89.3168,-1.05,80,40,1.54,CA,1699923106
281,colonia,50.9333,6.95,12.71,76,20,7.72,DE,1699923347
282,areka,7.0667,37.7,17.02,74,98,1.96,ET,1699923400
283,zhangye,38.9342,100.4517,0.36,37,19,3.94,CN,1699923400
284,st austell,50.3383,-4.7658,13.38,88,75,10.29,GB,1699923401
285,nuku'alofa,-21.1333,-175.2,22.19,100,100,8.23,TO,1699923401
286,kudahuvadhoo,2.6708,72.8944,27.38,74,97,1.78,MV,1699923311
287,dakoro,14.5106,6.765,23.07,12,93,4.42,NE,1699923401
288,manihari,25.35,87.6333,19.51,65,43,1.65,IN,1699923401
289,volokonovka,50.4827,37.8563,3.38,86,26,3.19,RU,1699923401
290,ad darb,17.7229,42.2526,28.08,77,8,1.81,SA,1699923402
291,gadani,25.1185,66.7299,19.12,55,100,2.68,PK,1699923402
292,tlahualilo de zaragoza,26.1167,-103.45,16.39,72,100,1.68,MX,1699923402
293,san patricio,28.017,-97.5169,17.69,91,100,5.33,US,1699923402
294,san severino marche,43.2281,13.1802,16.41,78,95,2.73,IT,1699923402
295,nagqu,31.5,92.0,-7.66,39,100,1.96,CN,1699923402
296,butembo,0.15,29.2833,13.49,92,79,1.26,CD,1699923403
297,aykhal,66.0,111.5,-9.03,92,100,4.89,RU,1699923403
298,eldorado at santa fe,35.5264,-105.9347,9.82,47,0,1.34,US,1699923403
299,posto fiscal rolim de moura,-13.0833,-62.2667,24.37,90,76,1.03,BR,1699923403
300,fale old settlement,-9.3852,-171.2468,26.49,89,100,6.38,TK,1699923403
301,ivdel',60.6911,60.4206,1.77,81,100,1.79,RU,1699923308
302,corowa,-36.0333,146.3833,16.9,75,100,4.71,AU,1699923403
303,murzuq,25.9155,13.9184,18.76,53,0,5.02,LY,1699923404
304,hafnarfjordur,64.0671,-21.9377,7.21,53,0,8.75,IS,1699923404
305,muisne,0.6,-80.0333,25.61,85,90,2.78,EC,1699923404
306,gabu,12.2833,-14.2167,24.69,26,16,1.4,GW,1699923404
307,north bend,43.4065,-124.2243,13.95,72,0,2.57,US,1699923392
308,fort st. john,56.2499,-120.8529,-4.06,93,75,6.17,CA,1699923207
309,selkirk,50.1436,-96.8845,4.08,82,100,1.34,CA,1699923330
310,vico del gargano,41.8983,15.9576,9.7,72,100,1.55,IT,1699923405
311,bocas del toro,9.3333,-82.25,24.5,90,100,2.74,PA,1699923405
312,dudinka,69.4058,86.1778,-21.4,90,8,3.5,RU,1699923405
313,berber,18.0216,33.983,27.84,48,100,1.5,SD,1699923405
314,road town,18.4167,-64.6167,28.02,74,40,4.63,VG,1699923344
315,bunia,1.5667,30.25,17.15,92,40,0.43,CD,1699923406
316,balqash,46.8481,74.995,2.96,82,14,3.39,KZ,1699923406
317,south lake tahoe,38.9332,-119.9844,11.94,27,0,5.14,US,1699923337
318,nova sintra,14.8667,-24.7167,23.72,72,100,5.32,CV,1699923266
319,khovd,48.0056,91.6419,-5.73,85,100,1.39,MN,1699923177
320,langtoucun,40.0261,124.3286,1.89,43,100,1.32,CN,1699923407
321,mount gambier,-37.8333,140.7667,15.17,62,100,1.66,AU,1699923123
322,mosjoen,65.836,13.1908,-11.71,92,41,1.03,NO,1699923202
323,yantongshan,43.2919,126.0094,-3.99,77,5,2.64,CN,1699923408
324,hirado,33.3597,129.5531,14.1,61,28,4.93,JP,1699923408
325,eirunepe,-6.6603,-69.8736,25.54,86,88,0.16,BR,1699923408
326,ergani,38.2653,39.7621,14.14,65,100,1.56,TR,1699923323
327,howard springs,-12.497,131.047,32.12,64,45,1.34,AU,1699923246
328,port moresby,-9.4431,147.1797,30.68,51,20,1.54,PG,1699923408
329,ceerigaabo,10.6162,47.368,16.61,60,64,1.77,SO,1699923409
330,gadzhiyevo,69.2551,33.3362,-8.77,96,87,1.01,RU,1699923409
331,harper,4.375,-7.7169,25.5,90,10,2.65,LR,1699923409
332,naracoorte,-36.9579,140.7383,11.62,93,100,0.81,AU,1699923409
333,san antonio de pale,-1.4014,5.6325,26.17,81,31,3.48,GQ,1699923409
334,ilomantsi,62.6716,30.9328,-1.28,91,97,3.86,FI,1699923410
335,bima,-8.4667,118.7167,33.26,53,28,1.54,ID,1699923410
336,randudongkal,-7.0981,109.3243,28.28,73,90,0.78,ID,1699923410
337,vorotynsk,54.4283,36.0465,4.63,86,100,3.13,RU,1699923410
338,fada,9.5667,8.3,22.17,31,100,1.94,NG,1699923305
339,punta arenas,-53.15,-70.9167,3.06,70,20,8.23,CL,1699923243
340,hami,42.8,93.45,2.54,30,99,3.89,CN,1699923411
341,machali,-34.1833,-70.6667,12.7,70,1,1.39,CL,1699923411
342,santana do paraiso,-19.3636,-42.5686,23.18,53,0,0.51,BR,1699923257
343,ribeira brava,32.65,-17.0667,21.35,79,9,1.0,PT,1699923411
344,anshun,26.25,105.9333,7.95,86,100,0.69,CN,1699923411
345,sittwe,20.15,92.9,24.89,84,100,2.39,MM,1699923411
346,mossel bay,-34.1831,22.146,13.96,85,4,8.6,ZA,1699923412
347,yaren,-0.5472,166.916,27.98,79,100,11.88,NR,1699923412
348,wuwei,37.9281,102.6414,1.99,37,0,0.93,CN,1699923412
349,cascais,38.6979,-9.4215,16.95,92,93,4.02,PT,1699923412
350,vadso,70.0744,29.7487,-7.91,86,88,6.17,NO,1699923412
351,taltal,-25.4,-70.4833,17.92,67,45,1.99,CL,1699923412
